Disease.Symptoms
Hypothyroidism. fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,nan,nan,nan,nan
Hyperthyroidism. fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,nan,nan,nan,nan,nan,nan
Hypoglycemia. vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations,nan,nan,nan,nan,nan,nan
Osteoarthristis. joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Arthritis. muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
(vertigo) Paroymsal  Positional Vertigo. vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Acne. skin_rash, pus_filled_pimples, blackheads, scurring,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Urinary tract infection. burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Psoriasis. skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Impetigo. skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
